"Id_images";"Elo_mean_all";"Elo_sd_all"
"357_3_52758703476_o";1169,901;102,158462941406
"034_2_52758946419_o";1165,13;99,9106462657371
"194_8_52758157992_o";1160,663;101,88654621342
"326_6_52759188193_o";1158,253;92,6526821549733
"368_3_52758703636_o";1156,102;105,340154471807
"184_8_52759106845_o";1153,965;94,369992425932
"359_3_52759109735_o";1149,814;98,6581716779651
"268_2_52759108415_o";1144,619;103,511199429856
"375_3_52758952864_o";1142,452;99,4968004978517
"251_2_52758158972_o";1141,956;104,354750624866
"351_3_52759188613_o";1141,542;98,2825503113126
"140_3_52758156657_o";1139,821;98,0067358872811
"133_3_52758948314_o";1139,465;94,8091849799193
"349_3_52759109595_o";1137,748;95,0944448926931
"434_8_52759110615_o";1135,641;97,1253800942805
"165_4_52759185283_o";1134,994;100,599235435316
"306_6_52758159707_o";1133,625;105,739317087724
"235_1_52758950564_o";1132,322;107,428828855523
"439_8_52758953694_o";1127,342;96,877563441172
"370_3_52758703681_o";1126,892;99,2794578286301
"373_3_52758160797_o";1121,508;101,876821813516
"123_6_52758948059_o";1119,851;94,5752572202597
"163_4_52758700151_o";1117,806;106,999632173598
"164_4_52758700171_o";1109,324;106,896051329269
"022_1_52758697351_o";1104,233;93,904231617727
"226_1_52758701581_o";1091,783;96,9740680846219
"030_2_52758154492_o";1088,824;98,0742044248822
"419_8_52758704366_o";1087,722;96,7281399027659
"406_4_52759189423_o";1087,394;100,9675056699
"180_8_52759106725_o";1076,53;103,634140779644
"354_3_52759188648_o";1075,868;93,4464167788621
"339_6_52759188443_o";1068,458;104,778159454624
"143_3_52758156727_o";1068,415;100,003627436711
"127_3_52759105440_o";1052,372;102,475708764989
"319_6_52758159937_o";1050,589;96,7072508727829
"341_3_52759188473_o";1046,43;98,8796859435359
"269_2_52758159147_o";1041,541;96,8680739085006
"183_8_52758949624_o";1039,78;106,349743149045
"257_2_52758950914_o";1036,084;94,7929673058643
"245_2_52759108145_o";1035,544;101,184397741679
"144_3_52759105795_o";1034,724;105,14902825106
"390_4_52759110140_o";1030,175;98,2734758266494
"312_6_52759109030_o";1022,822;102,015339265453
"284_5_52758159327_o";1019,145;97,2466703280369
"415_8_52759110440_o";1017,12;94,2743085110957
"045_2_52758946619_o";1016,349;104,432741017348
"411_4_52758161322_o";1015,574;94,9976055965047
"352_3_52758952514_o";1012,306;98,8516869862119
"039_2_52759103815_o";1011,96;98,6591406106197
"360_3_52758160577_o";1011,943;99,284980023457
"310_6_52758951829_o";1007,157;98,7409546597921
"331_6_52759188313_o";1001,206;96,502872332218
"361_3_52758703531_o";1000,325;98,3753275983368
"142_3_52758156692_o";987,602;118,224069150603
"380_4_52758160902_o";984,313;103,301676013835
"117_6_52759183968_o";981,915;100,912234412157
"374_3_52758703746_o";980,193;102,896352755627
"412_8_52759189508_o";969,371;102,327935410451
"405_4_52759110300_o";954,099;106,315597186891
"134_3_52759184418_o";951,841;99,9608918472564
"426_8_52758953524_o";951,05;97,7706223494286
"171_4_52758157352_o";927,32;103,526167065468
"046_2_52759103955_o";922,996;92,8364291998921
"240_2_52758701776_o";900,843;90,4563580059672
"402_4_52759110275_o";876,124;94,3691589565265
"401_4_52759189343_o";875,977;102,162025971251
"141_3_52759184608_o";874,796;104,499591140581
"400_4_52759110255_o";862,799;92,1077653590588
"200_8_52759186178_o";849,494;102,018418541564
"309_6_52758159737_o";847,236;97,5594287916147
"307_6_52758951799_o";832,427;97,1836783536121
"198_8_52758700956_o";812,109;102,469132142524
"154_4_52758699911_o";753,847;93,5419568358963
"358_3_52758160492_o";675,919;95,3669612407583
"378_4_52759110000_o";499,554;89,6645795217979
